movieId,title,posterURL
11,"American President, The (1995)","{""190"": ""https://m.media-amazon.com/images/M/MV5BZTcyNDAzYTUtNjBjMC00YTk3LTg5MTItMzM3MjhlNGE5YWNlXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BZTcyNDAzYTUtNjBjMC00YTk3LTg5MTItMzM3MjhlNGE5YWNlXkEyXkFqcGc@._V1_QL75_UY422_CR0,0,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BZTcyNDAzYTUtNjBjMC00YTk3LTg5MTItMzM3MjhlNGE5YWNlXkEyXkFqcGc@._V1_QL75_UY562_CR0,0,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BZTcyNDAzYTUtNjBjMC00YTk3LTg5MTItMzM3MjhlNGE5YWNlXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg""}"
12,Dracula: Dead and Loving It (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BN2I2MjQzYTgtZWU5ZS00ZGZmLWFhNmQtNjVlODE0OTM4Y2JhXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BN2I2MjQzYTgtZWU5ZS00ZGZmLWFhNmQtNjVlODE0OTM4Y2JhXkEyXkFqcGc@._V1_QL75_UX285_CR0,1,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BN2I2MjQzYTgtZWU5ZS00ZGZmLWFhNmQtNjVlODE0OTM4Y2JhXkEyXkFqcGc@._V1_QL75_UX380_CR0,2,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BN2I2MjQzYTgtZWU5ZS00ZGZmLWFhNmQtNjVlODE0OTM4Y2JhXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg""}"
13,Balto (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BNzY2OGY3MTYtMTlhNC00MDUyLWE2OGEtNzMzZjQxYjFiYjRiXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BNzY2OGY3MTYtMTlhNC00MDUyLWE2OGEtNzMzZjQxYjFiYjRiXkEyXkFqcGc@._V1_QL75_UX285_CR0,10,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BNzY2OGY3MTYtMTlhNC00MDUyLWE2OGEtNzMzZjQxYjFiYjRiXkEyXkFqcGc@._V1_QL75_UX380_CR0,14,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BNzY2OGY3MTYtMTlhNC00MDUyLWE2OGEtNzMzZjQxYjFiYjRiXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg""}"
14,Nixon (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BNDk3YWU1NmEtMDBhMC00ZGYwLWFiNzQtMzkwMzg4YjA4MDY4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BNDk3YWU1NmEtMDBhMC00ZGYwLWFiNzQtMzkwMzg4YjA4MDY4XkEyXkFqcGc@._V1_QL75_UX285_CR0,0,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BNDk3YWU1NmEtMDBhMC00ZGYwLWFiNzQtMzkwMzg4YjA4MDY4XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BNDk3YWU1NmEtMDBhMC00ZGYwLWFiNzQtMzkwMzg4YjA4MDY4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg""}"
15,Cutthroat Island (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BZTQ3OWY2NTctOTAyNS00MThjLTgyZjEtNzgzZGNiZDNhODUyXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BZTQ3OWY2NTctOTAyNS00MThjLTgyZjEtNzgzZGNiZDNhODUyXkEyXkFqcGc@._V1_QL75_UY422_CR0,0,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BZTQ3OWY2NTctOTAyNS00MThjLTgyZjEtNzgzZGNiZDNhODUyXkEyXkFqcGc@._V1_QL75_UY562_CR0,0,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BZTQ3OWY2NTctOTAyNS00MThjLTgyZjEtNzgzZGNiZDNhODUyXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg""}"
16,Casino (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_QL75_UX285_CR0,3,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg""}"
17,Sense and Sensibility (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BY2MyZWJhNjktMWQ2My00OTgwLWI1NjEtYjUzM2M2N2M4Mzc4XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BY2MyZWJhNjktMWQ2My00OTgwLWI1NjEtYjUzM2M2N2M4Mzc4XkEyXkFqcGc@._V1_QL75_UY422_CR1,0,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BY2MyZWJhNjktMWQ2My00OTgwLWI1NjEtYjUzM2M2N2M4Mzc4XkEyXkFqcGc@._V1_QL75_UY562_CR1,0,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BY2MyZWJhNjktMWQ2My00OTgwLWI1NjEtYjUzM2M2N2M4Mzc4XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg""}"
18,Four Rooms (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BMmNlMjE5YTEtZTU1My00MDc1LTgwNzctNTZlYmJmNTM3ZjYzXkEyXkFqcGc@._V1_QL75_UY281_CR5,0,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BMmNlMjE5YTEtZTU1My00MDc1LTgwNzctNTZlYmJmNTM3ZjYzXkEyXkFqcGc@._V1_QL75_UY422_CR7,0,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BMmNlMjE5YTEtZTU1My00MDc1LTgwNzctNTZlYmJmNTM3ZjYzXkEyXkFqcGc@._V1_QL75_UY562_CR9,0,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BMmNlMjE5YTEtZTU1My00MDc1LTgwNzctNTZlYmJmNTM3ZjYzXkEyXkFqcGc@._V1_QL75_UY281_CR5,0,190,281_.jpg""}"
19,Ace Ventura: When Nature Calls (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BMjk3ZDUwYTMtYmQyYy00NTg1LWExOTItNTcxODM3NDZiNjMyXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BMjk3ZDUwYTMtYmQyYy00NTg1LWExOTItNTcxODM3NDZiNjMyXkEyXkFqcGc@._V1_QL75_UX285_CR0,3,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BMjk3ZDUwYTMtYmQyYy00NTg1LWExOTItNTcxODM3NDZiNjMyXkEyXkFqcGc@._V1_QL75_UX380_CR0,3,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BMjk3ZDUwYTMtYmQyYy00NTg1LWExOTItNTcxODM3NDZiNjMyXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg""}"
20,Money Train (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BZGIzODJmMGYtMzY2My00ZGJkLTg1YzMtNmY2ZTVlYmI5YzYyXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BZGIzODJmMGYtMzY2My00ZGJkLTg1YzMtNmY2ZTVlYmI5YzYyXkEyXkFqcGc@._V1_QL75_UX285_CR0,2,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BZGIzODJmMGYtMzY2My00ZGJkLTg1YzMtNmY2ZTVlYmI5YzYyXkEyXkFqcGc@._V1_QL75_UX380_CR0,2,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BZGIzODJmMGYtMzY2My00ZGJkLTg1YzMtNmY2ZTVlYmI5YzYyXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg""}"
21,Get Shorty (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_QL75_UX285_CR0,3,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_QL75_UX380_CR0,4,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg""}"
22,Copycat (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BY2ZiODRlYWMtOGViYS00ZTNiLTlkMGQtZTAxY2IyMDAzYzU2XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BY2ZiODRlYWMtOGViYS00ZTNiLTlkMGQtZTAxY2IyMDAzYzU2XkEyXkFqcGc@._V1_QL75_UX285_CR0,3,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BY2ZiODRlYWMtOGViYS00ZTNiLTlkMGQtZTAxY2IyMDAzYzU2XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BY2ZiODRlYWMtOGViYS00ZTNiLTlkMGQtZTAxY2IyMDAzYzU2XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg""}"
23,Assassins (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BYjRmZDUzZTctMzkyMi00ZDY1LTk2MDgtMDI0MTM4ZTYzOWI4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BYjRmZDUzZTctMzkyMi00ZDY1LTk2MDgtMDI0MTM4ZTYzOWI4XkEyXkFqcGc@._V1_QL75_UX285_CR0,3,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BYjRmZDUzZTctMzkyMi00ZDY1LTk2MDgtMDI0MTM4ZTYzOWI4XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BYjRmZDUzZTctMzkyMi00ZDY1LTk2MDgtMDI0MTM4ZTYzOWI4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg""}"
24,Powder (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BYzBmZjgyNWQtOWYzNS00NTg2LWJjZDktYzE4YTMzMjNiZWVkXkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BYzBmZjgyNWQtOWYzNS00NTg2LWJjZDktYzE4YTMzMjNiZWVkXkEyXkFqcGc@._V1_QL75_UX285_CR0,6,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BYzBmZjgyNWQtOWYzNS00NTg2LWJjZDktYzE4YTMzMjNiZWVkXkEyXkFqcGc@._V1_QL75_UX380_CR0,7,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BYzBmZjgyNWQtOWYzNS00NTg2LWJjZDktYzE4YTMzMjNiZWVkXkEyXkFqcGc@._V1_QL75_UX190_CR0,4,190,281_.jpg""}"
25,Leaving Las Vegas (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_QL75_UX285_CR0,3,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_QL75_UX380_CR0,4,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_QL75_UX190_CR0,2,190,281_.jpg""}"
26,Othello (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BMzJkMzdmMjMtOGVmNC00NTI4LWJjNTMtNGE4ZGMzYjU1ZDk5XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BMzJkMzdmMjMtOGVmNC00NTI4LWJjNTMtNGE4ZGMzYjU1ZDk5XkEyXkFqcGc@._V1_QL75_UY422_CR0,0,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BMzJkMzdmMjMtOGVmNC00NTI4LWJjNTMtNGE4ZGMzYjU1ZDk5XkEyXkFqcGc@._V1_QL75_UY562_CR1,0,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BMzJkMzdmMjMtOGVmNC00NTI4LWJjNTMtNGE4ZGMzYjU1ZDk5XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg""}"
27,Now and Then (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BZWE5NTgyM2QtZjE0Ni00YTNkLTlmMGItNTRlY2ZhMmIyMDdhXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BZWE5NTgyM2QtZjE0Ni00YTNkLTlmMGItNTRlY2ZhMmIyMDdhXkEyXkFqcGc@._V1_QL75_UX285_CR0,3,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BZWE5NTgyM2QtZjE0Ni00YTNkLTlmMGItNTRlY2ZhMmIyMDdhXkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BZWE5NTgyM2QtZjE0Ni00YTNkLTlmMGItNTRlY2ZhMmIyMDdhXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg""}"
28,Persuasion (1995),"{""190"": ""https://m.media-amazon.com/images/M/MV5BOGM1Mjk1Y2EtMDBiMy00MDAxLWI0NmEtNzExYjM4NDVmZDZjXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BOGM1Mjk1Y2EtMDBiMy00MDAxLWI0NmEtNzExYjM4NDVmZDZjXkEyXkFqcGc@._V1_QL75_UX285_CR0,1,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BOGM1Mjk1Y2EtMDBiMy00MDAxLWI0NmEtNzExYjM4NDVmZDZjXkEyXkFqcGc@._V1_QL75_UX380_CR0,1,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BOGM1Mjk1Y2EtMDBiMy00MDAxLWI0NmEtNzExYjM4NDVmZDZjXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg""}"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","{""190"": ""https://m.media-amazon.com/images/M/MV5BMTc5YWUxOGUtYWQ2OC00ZTMyLWI5MTktNjNkZjNmZTA1OWYyXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg"", ""285"": ""https://m.media-amazon.com/images/M/MV5BMTc5YWUxOGUtYWQ2OC00ZTMyLWI5MTktNjNkZjNmZTA1OWYyXkEyXkFqcGc@._V1_QL75_UX285_CR0,1,285,422_.jpg"", ""380"": ""https://m.media-amazon.com/images/M/MV5BMTc5YWUxOGUtYWQ2OC00ZTMyLWI5MTktNjNkZjNmZTA1OWYyXkEyXkFqcGc@._V1_QL75_UX380_CR0,1,380,562_.jpg"", ""src"": ""https://m.media-amazon.com/images/M/MV5BMTc5YWUxOGUtYWQ2OC00ZTMyLWI5MTktNjNkZjNmZTA1OWYyXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg""}"
